word|jlpt_level|source
漫画|N5|bunpro
火|N5|bunpro
火傷|N5|bunpro
灰色|N5|bunpro
点|N5|bunpro
為る|N5|waller
無|N5|bunpro
然し|N5|waller
熱|N5|bunpro
片道|N5|bunpro
牛|N5|bunpro
特急|N5|bunpro
玉|N5|bunpro
王|N5|bunpro-o
玩具|N5|bunpro-o
理由|N5|bunpro
生|N5|bunpro
生活|N5|bunpro
産婦人科|N5|bunpro
用事|N5|bunpro
田舎|N5|bunpro
男の人|N5|bunpro-o
留学|N5|bunpro
番|N5|bunpro
発音|N5|bunpro-o
皆|N5|bunpro
直|N5|bunpro
真面目|N5|bunpro
眼科|N5|bunpro
着|N5|bunpro
着物|N5|bunpro
硬|N5|bunpro
社長|N5|bunpro
神様|N5|bunpro
神社|N5|bunpro
祭|N5|bunpro
禁止|N5|bunpro
科学|N5|bunpro
立派|N5|waller
等|N5|bunpro
答|N5|bunpro
箸|N5|bunpro
簡単|N5|bunpro
糸|N5|bunpro
約束|N5|bunpro
素敵|N5|bunpro
紫|N5|bunpro
紹介|N5|bunpro
終|N5|bunpro
終わり|N5|bunpro-o
終わる|N5|bunpro-o
経済|N5|bunpro
緊張|N5|bunpro
美味しい|N5|bunpro-o
美術館|N5|bunpro
肩|N5|bunpro
背中|N5|bunpro
胸|N5|bunpro
自信|N5|bunpro
自然|N5|bunpro
興味|N5|bunpro
船|N5|bunpro
良い|N5|waller
色々|N5|bunpro
花見|N5|bunpro
茶|N5|bunpro
茶碗|N5|bunpro
草|N5|bunpro
菓子|N5|bunpro
落ちる|N5|bunpro-o
落とす|N5|bunpro-o
行|N5|bunpro
袋|N5|bunpro
見る|N5|waller
親切|N5|bunpro
試合|N5|bunpro
試験|N5|bunpro
語|N5|bunpro
説明|N5|bunpro
誰か|N5|waller
警察|N5|bunpro
趣味|N5|bunpro
踊る|N5|bunpro-o
身長|N5|bunpro
近所|N5|bunpro
返事|N5|bunpro
送る|N5|bunpro-o
週間|N5|bunpro
遅く|N5|bunpro-o
遅くなる|N5|bunpro-o
遅刻|N5|bunpro
運動|N5|bunpro
運転|N5|bunpro
遣る|N5|waller
選手|N5|bunpro
選択|N5|bunpro
酒|N5|bunpro
醤油|N5|bunpro
金|N5|bunpro
釣|N5|bunpro
鍵|N5|bunpro
長|N5|bunpro
間|N5|bunpro
関係|N5|bunpro
難|N5|bunpro
雲|N5|bunpro
青信号|N5|bunpro-o
面白い|N5|bunpro-o
頃|N5|bunpro
顔|N5|bunpro-o
風呂|N5|bunpro
飛行場|N5|bunpro
餅|N5|bunpro
首|N5|bunpro
骨折|N5|bunpro
高|N5|bunpro
高校|N5|bunpro
高校生|N5|bunpro
髪|N5|bunpro
黒板|N5|bunpro
〜顔をする|N4|bunpro-o
あかんぼう|N4|waller
あら|N4|bunpro
あんなに|N4|bunpro
うんと|N4|bunpro
おしゃれ|N4|bunpro-o
おじさん|N4|bunpro-o
おにぎり|N4|bunpro-o
おばさん|N4|bunpro-o
おめでとうございます|N4|bunpro-o
おや|N4|waller
おやつ|N4|bunpro-o
お世話になる|N4|bunpro-o
お休みなさい|N4|bunpro-o
お休みになる|N4|bunpro-o
お先に失礼します|N4|bunpro-o
お出でになる|N4|bunpro-o
お出掛け|N4|bunpro-o
お城|N4|bunpro-o
お子さん|N4|bunpro-o
お守り|N4|bunpro-o
お客さん|N4|bunpro-o
お尻|N4|bunpro-o
お帰り|N4|bunpro-o
お引き出し|N4|bunpro-o
お振込|N4|bunpro-o
お気の毒に|N4|bunpro-o
お湯|N4|bunpro-o
お湯が沸く|N4|bunpro-o
お湯を沸かす|N4|bunpro-o
お疲れ様|N4|bunpro-o
お祈り|N4|bunpro-o
お腹を壊す|N4|bunpro-o
お蔭|N4|bunpro-o
お返し|N4|bunpro-o
お釣り|N4|bunpro-o
お陰で|N4|bunpro-o
お陰様で|N4|bunpro-o
お預け入れ|N4|bunpro-o
お願い|N4|bunpro-o
お餅|N4|bunpro-o
お饅頭|N4|bunpro-o
がっかり|N4|bunpro
きちんと|N4|bunpro
きつい|N4|bunpro
ぐっすり|N4|bunpro
こんなに|N4|bunpro
すごい|N4|waller
ずっと|N4|bunpro
その為|N4|bunpro
ただ|N4|bunpro
ところが|N4|bunpro
とにかく|N4|bunpro
どんなに|N4|bunpro
なかなか|N4|waller
はたを織る|N4|bunpro-o
めまい|N4|bunpro
よろしくお伝えください|N4|bunpro-o
アイロン|N4|bunpro
アルバム|N4|bunpro
エネルギー|N4|bunpro
カット|N4|bunpro
カラー|N4|bunpro
カンニング|N4|bunpro
カード|N4|bunpro
クリスマス|N4|bunpro
グラス|N4|bunpro
グループ|N4|bunpro
ケース|N4|bunpro
コンタクト|N4|bunpro
コース|N4|bunpro
サイン|N4|bunpro
サラリーマン|N4|bunpro
ショップ|N4|bunpro
ジーンズ|N4|bunpro
スカーフ|N4|bunpro
スクール|N4|bunpro
ストップ|N4|bunpro
スピーチ|N4|bunpro
スープ|N4|bunpro
セット|N4|bunpro
センチ|N4|bunpro
タオル|N4|bunpro
ダブル|N4|bunpro
ダンス|N4|bunpro
チップ|N4|bunpro
デザート|N4|bunpro
ハイキング|N4|bunpro
バイバイ|N4|bunpro
バッグ|N4|bunpro
パスポート|N4|bunpro
ビジネス|N4|bunpro
ピンク|N4|bunpro
ファイル|N4|bunpro
フリー|N4|bunpro
フロント|N4|bunpro
ブラシ|N4|bunpro
ブーツ|N4|bunpro
ベンチ|N4|bunpro
ペンキ|N4|bunpro
ボート|N4|bunpro
ボール|N4|bunpro
ポスター|N4|bunpro
マイク|N4|bunpro
マフラー|N4|bunpro
マンション|N4|bunpro
メッセージ|N4|bunpro
メーター|N4|bunpro
ヨーロッパ|N4|bunpro
レントゲン|N4|bunpro
一方|N4|bunpro
一生|N4|bunpro
下ろす|N4|bunpro-o
不安|N4|bunpro
不思議|N4|bunpro
両替|N4|bunpro
主に|N4|bunpro-o
乗り遅れる|N4|bunpro-o
乾|N4|bunpro
予報|N4|bunpro
交換|N4|bunpro
人工|N4|bunpro
人類|N4|bunpro
仏|N4|bunpro
他人|N4|bunpro
仰っしゃる|N4|bunpro-o
仲|N4|bunpro
伺う|N4|waller
体温計|N4|bunpro-o
作品|N4|bunpro
価値|N4|bunpro
係|N4|bunpro
保健|N4|bunpro
保険|N4|bunpro
俳優|N4|bunpro
俳句|N4|bunpro
個|N4|bunpro
値段|N4|bunpro
健康|N4|bunpro
偶|N4|bunpro
優勝|N4|bunpro
先ず|N4|waller
免許|N4|bunpro
全|N4|bunpro
内|N4|waller
冊|N4|bunpro
冗談|N4|bunpro
出張|N4|bunpro
分野|N4|bunpro
刺|N4|bunpro
前後|N4|bunpro
割|N4|bunpro
劇|N4|bunpro
劇場|N4|bunpro
助|N4|bunpro
勇気|N4|bunpro
募集|N4|bunpro
匂い|N4|bunpro-o
化粧|N4|bunpro
匹|N4|bunpro
医師|N4|bunpro
医療|N4|bunpro
協力|N4|bunpro
原爆|N4|bunpro
参加|N4|bunpro
又|N4|bunpro
友人|N4|bunpro
収入|N4|bunpro
可笑しい|N4|bunpro-o
台|N4|bunpro
同僚|N4|bunpro
同情|N4|bunpro
名|N4|bunpro
呉れる|N4|waller
周|N4|bunpro
味方|N4|bunpro
問|N4|bunpro
喉|N4|waller
喧嘩|N4|bunpro
回|N4|bunpro
回答|N4|bunpro
土産|N4|bunpro
地下|N4|bunpro
堅い|N4|waller
場面|N4|bunpro
塵|N4|waller
多く|N4|bunpro-o
大きさ|N4|bunpro-o
大学院|N4|bunpro
大家|N4|bunpro
大家さん|N4|bunpro-o
大統領|N4|bunpro
天井|N4|bunpro
太陽|N4|bunpro
奢る|N4|bunpro-o
奥様|N4|bunpro-o
奨学金|N4|bunpro
完成|N4|bunpro
宝|N4|bunpro
